Title,Ingredients,Steps,Loves,URL
Sayur asem kacang merah daging sapi,kacang merah--daging sapi--bawang merah--bawang putih--cabe merah--tomat--asam jawa--daun bawang--gula merah--garam--bumbu masak--salam--,"Rebus kacang merah sampai empuk sisihkan--Rebus daging sampai empuk potong kotak kecil--Iris semua bumbu--Panaskan 1 liter kaldu bekas rebusan daging tadi tambahkan air kalau kurang, setelah mendidih tambahkan kacang merah, daging, bumbu yg sdh diiris, garam secukupnya, gula merah secukupnya, sedikit gula pasir biar gurih, bumbu masak sy pakai royco rasa sapi sedikit saja, 2 lembar daun salam biarkan bumbu meresap sekitar 10-15 menit. Angkat hidangkan sayur kacang merah siap disantap. Selamat mencoba...--",7,/id/resep/4468461-sayur-asem-kacang-merah-daging-sapi
Orak arik telur daging sapi,daging sapi--bawang putih  bungkul cincang halus--telur   kocok beri  garam--minyak wijen--penyedap rasa--,Tumis bawang putih sampai harum masukkan daging sapi tumis--Masukkan telur yg sudah dikocok lepas aduk2 beri sedikit air--Masukkan minyak wijen dan penyedap rasa tunggu agak mengental angkat dan sajikan selamat mencoba 😄😄--,0,/id/resep/4468264-orak-arik-telur-daging-sapi
Se'i Sapi Khas Kupang,"daging se'i sapi--bawang merah--bawang putih--bawang bombay--cabai rawit--cabai merah keriting--kecil kemangi, siangi--tomat--lada bubuk--saos tiram--kecap manis--minyak goreng--garam--gula--air--","Iris daging se'i Sapi nya tipis-tipis atau sesuai selera--Iris tipis bawang merah, bawang putih, bawang Bombay, cabai, dan tomat.--Tumis bawang merah, bawang putih, dan bawang Bombay, sampai harum.--Masukkan cabai, setelah matang masukkan tomat--Bisa beri sedikit air, biarkan sampai bumbu matang dan air mendidih dan menyusut. (ini bisa di skip) bila tidak ingin ada airnya--Masukkan daging Se'i Sapi nya, tambahkan lada bubuk, gula, garam, saos tiram, dan kecap manis. Aduk rata--Masak Se'i sebentar saja ±5 menitan agar daging tidak keras. masukkan daun kemangi. Aduk rata--Tes rasa--Siap di sajikan--",1,/id/resep/4468042-sei-sapi-khas-kupang
Beef steak saus jamur,daging sapi--kentang--buncis--wortel--marinated--merica bubuk--ny lada hitam--bikin saos steakny--mentega--jamur kancing--bawang bombay--saus tiram--penyedap rasa--gula--tepung maizena--garam--,"Cuci bersih daging sapi, lalu iris iris menjadi beberapa bagian tergantung selera, lalu marinated daging sapi, diam kn bberapa menit sampai bumbu meresap.--Rebus sayuran wortel dan buncis.--Goreng kentang di lumuri terigu / bisa juga d rebus yah bunda--Masak daging sapi bisa d bakar, bisa juga pakai teflon anti lengket yah bunda, sampai berubah warna dan kelihatan matang--Bikin saus ny : panaskan wajan lalu cairkan mentega, tumis bawang bombay hingga harum lalu masukan potongan jamur aduk rata hingga layu, masukan saus tiram, aduk rata lalu beri sedikit air masak hingga mendidih, tambahkan gula, garam dan penyedap rasa sesuai selera yah bunda aduk sampai merata, masukan tepung maizena yang telah di larutkan, aduk hingga rata masak hingga mengental.--Lalu sajikan daging sapi di atas piring beserta sayuran dan kentangny siram dengan saos jamur ny dan beef steak saos jamur siap disajikan--Selamat mencoba bunda--",6,/id/resep/4433229-beef-steak-saus-jamur
Tumis Daging Sapi,"daging sapi--bawang bombay--bawang putih--jahe--cabe ijo besar--cabe ijo keriting--saus tiram--garam, gula pasir, merica bubuk--saus marinasi:--kecap manis--kecap asin--minyak wijen--","Rendam daging dalam kecap manis, kecap asin dan minyak wijen.--Diamkan dalam kulkas minimal 1jam, lebih lama lebih enak.--Iris serong cabe. Geprek jahe. Cincang halus bawang putih. Potong besar bawang bombay.--Panaskan minyak goreng tumis bawang putih dan bawang bombay sampai harum kemudian masukkan jahe dan cabe ijo.--Kemudian masukkan daging yg sudah dimarinasi beserta seluruh sausnya. Aduk rata.--Tambahkan saus tiram. Aduk rata.--Lalu bubuhkan garam, gula pasir dan merica bubuk.--Beri secukupnya air supaya daging matang sempurna dan empuk serta tidak gosong.--Masak sampai kuah berkurang sesuai selera. Koreksi rasa.--Tumis daging sapi siap dihidangkan untuk makan siang bersama keluarga tercinta. 😋😋😋--",22,/id/resep/4466890-tumis-daging-sapi
Bola-Bola Kornet Sapi,kaleng kornet sapi--tepung bakwan--minyak--,Campur satu kaleng kornet dengan tepung setengahnya aduk rata..--Bentuk bola-bola goreng sampai berubah warna.. jangan terlalu lama... sajikan--,1,/id/resep/4466433-bola-bola-kornet-sapi
Sayur sop daging sapi no MSG no Gula,daging sapi--sesukanya wortel--kentang--sesukanya kol--seledri--bawang daun--buat tomat besar--bumbu :--merica  ulek--bawang merah--bawang putih--garam--air matang----,"Tumis bawang putih dengan margarin--Goreng bawang merah--Rebus daging sapi yg sudah d potong2 sampai empuk--Masukan bwng putih yg sudah d tumis--Lalu masukan kol.. wortel.. kentang.. sampai empuk, tambahkan merica--Dan terakhir masukan tomat, seledri, daun bawang dan garam.. tes rasa dan masukan bawang goreng. lalu aduk dan siap disajikan..--",6,/id/resep/4466609-sayur-sop-daging-sapi-no-msg-no-gula
Beef teriyaki,daging sapi tanpa lemak--saus:--saori teriyaki--kecap--minyak wijen--kecap asin--bw putih cincang--jahe cincang--bw bombay--cabe hijo buat cantik2--,"Campur semua bahan saus n marinated daging +-1jam--Tumis bw bombay n cabe hijo,masukkan daging n semua sausnya...tambkan air 100 ml. Masak sampai sat n cek rasa--Beef teriyaki siap--",6,/id/resep/4466570-beef-teriyaki
Asem asem daging sapi,"daging sapi, cui lalu  kecil2--buncis poton2--wortel, kupas lalu--tomat iris2--bumbu2--asam jawa  sampai didapat rasa asam yg diinginkan--bawang merah iris--bawang putih iris--bawang bombay iris--cabai hijau besar iris--cabai merah keriting iris--daun salam--laos geprek--kecap manis--garam--gula--penyedap rasa--",Rebus daging sampai empuk... Sisakan air rebusan untuk kuah--Tumis bawang merah bawang putih bawang bombay hingga harum dan layu--Masukkan cabai daun salam dan laos--Setelah harum masukkan buncis dan wortel aduk2 lalu tmbhkan kecap manis--Masukkan tumisan ke dalam air rebusan daging--Tambahkan asam jawa--Tambahkan garam gula dan penyedap lalu cek rasa--Masak sampi mendidih dan sayuran empuk--Terakhir masukkan tomat--Matikan api--Asem2 daging siap disajikan--Tumis bawang merah bawang putih bawang bombay hingga harum dan layu--Masukkan cabai daun salam dan laos--Setelah harum masukkan buncis dan wortel aduk2 lalu tmbhkan kecap manis--Masukkan tumisan ke dalam air rebusan daging--Tambahkan asam jawa--Tambahkan garam gula dan penyedap lalu cek rasa--Masak sampi mendidih dan sayuran empuk--Terakhir masukkan tomat--Matikan api--Asem2 daging siap disajikan--,5,/id/resep/4466163-asem-asem-daging-sapi
Spicy Beef Teriyaki (uenakk),sapi lulur dalam--selera cabai rawit--bombay--daun bawang/pere--mentega--madu--bumbu marinasi :--bawang putih--cm jahe--mirin--saus/kecap teriyaki--garam--gula--merica bubuk--,"Marinasi daging yang yg sudh dipotong dengan bumbu2 yang saya cantumkan. Diamkan di kulkas selama 1 jam. (referensi foto ini)--Siapkan wajan, beri mentega, lalu daging yg sudh di marinasi boleh dituang (hidupkan api yang sedang)--Test kematangan dengan cara menusuk dengan garpu. Jika sudah empuk, boleh di masukkan bawang bombay dan madu--Jika sudah matang, masukkan daun bawang/pere dan cabai rawit--Lalu icip2 rasa jika ad yg kurang (biasanya garam atau gula)--Masakan siap dihidangkan :) semoga suka ya teman2--",0,/id/resep/4466035-spicy-beef-teriyaki-uenakk
Steak sapi parud keju,bagian has sapi   ukuran ketebalan  inchi--bumbu rendaman sapi :--ketumbar--lada hitam--bawang putih--garam/penyedap/kaldu jamur--air--bahan sausnya:--delmonte saus tomat--delmonte saus cabe--bawang putih iris--bawang bombay iris--garam/penyedap/kaldu jamur--air--tepung maizena--keju parutan--bahan salad :--brokoli--jagung--wortel--,"Sayuran salad d rebus secukupnya jangan terlalu matang pisahkan dan tiriskan--Bawang putih, ketumbar, lada hitam dan garam, penyedap dhaluskan lalu air sedikit campur, lalu sapi masukan k rendaman bumbu nya tersebut. Masukan ke kulkas sblm d bakar--Buatlah sausnya terlebih dahulu, goreng bawang putih dan bawang Bombay sampai wangi lalu delmonte saus cabe dan tomat beri air sedikit lalu penyedap dan bila ingin kental sesuai selera beri tepung maizena yg sudah diberi air sedikit dan campurkan kedalam Katel--Bakar daging sampai warna kecoklatan dan tidak keluar darah lagi--Sajikan daging dilumuri saus dan salad di pinggirny, juga diparuti keju sesuai selera--Bila ingin kenyang di sajikan bersama nasi--",3,/id/resep/4465647-steak-sapi-parud-keju
Lumpia isi daging sapi & kol,bongkol kol iris halus--daging sapi giling--daun bawang iris halus--minyak goreng--air--kulit lumpia--putih telor--merica--garam--bumbu cincang halus:--bawang merah--bawang putih--minyak goreng untuk goreng lumpia--,"Tumis bumbu cincang dgn 2 sdm minyak, masukan daging sapi aduk rata sampai daging berubah warna lalu masukan kol, daun bawang, air, garam dan merica. Masak sampai air surut dan kol matang.--Angkat dari kompor, diamkan di suhu ruang sampai benar2 dingin.--Setelah dingin, bungkus lumpia dgn isian, gulung. Rekatkan ujung dgn putih telor. Lakukan sampai isian habis.--Panaskan minyak goreng, goreng lumpia sampai kecoklatan--Angkat dan sajikan--",1,/id/resep/4463578-lumpia-isi-daging-sapi-kol
Beef black pepper,daging sapi has dalam--bawang bombay--paprika hijau--bawang putih--lada hitam kasar--kecap manis--saus tiram--gula & garam--,"Aduk rata irisan daging dengan 1 sdm lada hitam, 2 sdm kecap manis & 2 sdm saus tiram. Diamkan selama minimum 30 menit.--Setelahnya tumis daging dengan sedikit minyak hingga matang, lalu sisihkan.--Tumis bawang putih, bawang bombay & paprika hingga harum.--Masukan tumisan daging--Tambahkan 3 sdm kecap manis, 2 sdm saus tiram & 2 sdm lada hitam. Aduk hingga semua bahan tercampur.--Tambahkan garam & gula sesuai selera.--",6,/id/resep/4463375-beef-black-pepper
Oseng Tetelan Sapi,tetelan sapi--air--daun salam--garam--gula--minyak goreng  untuk menumis--bumbu halus :--cabe merah keriting--cabe rawit merah--bawang merah--,"Rebus tetelan sapi bersama daun salam hingga empuk. Angkat, potong +/- 1 cm, sisihkan.--Rebus atau kukus bahan bumbu halus, lalu ulek kasar.--Tumis bumbu yang telah diulek kasar dengan minyak goreng secukupnya.--Beri garam dan gula secukupnya (lebih baik dirasa ya).--Masukkan tetelan yang telah direbus, aduk rata.--Tambahkan 100 ml air rebusan tetelan.--Koreksi rasa. Jika air sudah susut, matikan kompor.--Siap disajikan dengan nasi hangat.--",4,/id/resep/4462785-oseng-tetelan-sapi
Tongseng sapi,daging sapi--santan--kubis--tomat--bawang merah--bawang putih--kemiri--cabe rawit--gula merah----,"Cuci bersih daging sapi yang sudah di siapkan--Haluskan bawang merah, bawang putih, jahe, kunyit dan kemiri sisihkan--Panaskan wajan,beri sedikit minyak lalu tumis bumbu halus hingga harum,lalu masukkan daging sapi tumis hingga berubah warna,masukkan santan dan tuang air secukupnya tunggu hingga mendidih--Bumbui dengan garam,gula merah,merica bubuk,kecap tes rasa,jika sudah pas rasanya tunggu hingga mendidih tambahkan tomat iris,kubis dan cabe rawit iris,lalu tunggu air hingga sedikit menyusut,jangan terlampau habis airnya,jika sudah angkat sajikan--",2,/id/resep/4460848-tongseng-sapi
Soto Daging Sapi Lobak& Wortel,"daging sapi--wortel kupas, iris bulat tipis--lobak kupas, iris bulat tipis--sereh memar'kan--daun bawang iris halus--daun seledri iris halus--garam 'nya--gula pasir 'nya--air--bawang goreng--minyak sayur--~bumbu halus~--bawang merah--bawang putih--merica an--","Didih'kan Air hingga mendidih, masukan Daging yg sudah dicuci,rebus smp empuk, angkat tiriskan potong kotak''.Air rebusan Daging td disaring, untuk selanjutnya dimasak lg,separuh air rebusan Aku pk merebus lobak, biar aroma lobak'nya ngk pekat--Panaskan minyak, tumis bumbu halus smp harum,didihkan lg sisa air rebusan daging,masukan sereh, wortel,daging sapi,lobak.Tambah'kan garam &gula pasir,daun bawang, seledri. tes rasa.--Angkat, sajikan dngn taburan bawang goreng&pelengkap lain'nya--",9,/id/resep/4454968-soto-daging-sapi-lobak-wortel
Tumis buncis cah daging sapi,baby buncis--daging sapi giling--bawang putih--air--minyak untuk menumis--saus tiram--gula--lada bubuk--garam--,"Tumis bawang putih hingga harum, masukan daging giling lalu tumis hingga matang--Masukan buncis, air, saus tiram, gula, garam dan lada.. masak -+10 menit..--",6,/id/resep/4461424-tumis-buncis-cah-daging-sapi
Kornet Sapi,kaleng kornet sapi--tepung terigu--telor ayam--lada bubuk--garam--masako--,"Campur terigu dan telor dahulu, aduk hingga rata. jangan ada gumpalan trigu.--Lalu masukann kornet setengah kaleng yg ukuran sedang, sedikit masako, garam, dan lada bubuk aduk hingga rata.--Siapkann minyak yg sudah dipanaskan, lalu goreng. tunggu hinggs kecokltan dan tiriskan.--Siap dimakan untuk lauk ❤--",6,/id/resep/4461038-kornet-sapi
Bakso Sapi,"daging sapi tanpa lemak--es batu/7 ice cubes--putih telur--tapioka--nutrijell/agar2 plain--bumbu :--bawang putih goreng, haluskan--bawang merah goreng, haluskan--lada bubuk--garam--gula pasir--kaldu bubuk--","Giling daging+es batu sehalus mungkin. Tambahkan bumbu-giling, putih telur-giling hingga semua bahan tercampur rata.--Masukkan ke dlm freezer kurleb 30menit.--Keluarkan dr freezer lalu masukkan tapioka+nutrijel sedikit demi sedikit sambil diaduk rata dan diuleni. Uleni jgn kelamaan spy tidak keras.--Masukkan adonan ke freezer 5menit. Kemudian didihkan air di panci besar jgn smpai bergejolak lalu kecilkan apinya, cetak bakso bulat2 hingga mengapung. Angkat--Bila perlu masukkan bakso ke dlm wadah yg berisi air es utk menghentikan proses masak. Spy tetap kenyal dan tdk lembek.--Utk dijadikan Frozen Food:
Tiriskan bakso dan diamkan hingga benar2 dingin. Tata dalam wadah jgn bertumpuk, masukkan ke dlm freezer 1-2jam, lalu masukkan ke wadah kedap udara/plastik klip per porsi. Tahan 2bln jika kondisi freezer sangat dingin.--",11,/id/resep/4456773-bakso-sapi
Bakso Sapi & Udang cah Paprika,"bakso sapi dibelah dua--udang merah kupas--paprika ukuran medium iris kasar--tomat   iris kasar--bawang putih iris halus--bawang bombay ukuran besar--angciu--saus tiram--saus sambal abc--saus tomat--kecap ikan--royco rasa sayuran--daun bawang iris kasar--air matang--garam--cabai kering--, minyak goreng--","Tumis bawang putih, bombay, irisan paprika & bakso. Hingga paprika sedikit melunak. Tuangkan angciu sambil aduk. Masukkan kecap & saus. Aduk rata.--Tuangkan air hangat perlahan. Taburkan bumbu-bumbu bubuk. Masukkan irisan tomat bersama udang. Masak sebentar. Jangan sampai udang over cooked & mengeras. Tabur cabai kering (optional).--Tambahkan irisan daun bawang. Aduk rata. Matikan api. Hidangkan segera--",0,/id/resep/4458764-bakso-sapi-udang-cah-paprika
Sukiyaki beef enoki dan tahu,"daging beef slice--pack jamur enoki,  bagian bawahnya--kotak tahu kuning--saos tiram--kecap manis--garam, gula, kaldu jamur, merica--air--bawang putih--bawang bombay--","Rajang bawang putih dan bawang bombay. Potong2 tahu jd kotak2 kecil. Lalu potong2 jg daging slice menjadi bagian yg lebih kecil--Panaskan minyak dalam teflon. Stlh itu tumis bawang putih dan bawang bombay hingga harum. Stlh harum, masukkan daging hingga berubah warna--Masukkan jamur enoki dan tahu, lalu masukkan bumbu2 yg ada. Tambahkan sedikit air. Lalu cek rasa hingga sesuai dgn keinginan. Hidangkan😁--",4,/id/resep/4457740-sukiyaki-beef-enoki-dan-tahu
Sop Tulang Sapi (sederhana),bahan :--tulang sapi--.  air--jahe--pala--wortel--lada bubuk--garam--penyedap rasa sapi--daun bawang--pelengkap :--irisan cabe rawit--bawang goreng--jeruk nipis--,"Rebus Tulang tambahkan jahe, sampai keluar kaldu atau sampai airnya berkurang, kemudian masukan pala, bawang putih, lada, garam dan penyedap rasa--Kemudian masukan wortel yang sudah di iris2 dan daun bawang, tunggu sampai matang.--Sajikan dengan bahan pelengkap--Selamat mencoba--",4,/id/resep/4456739-sop-tulang-sapi-sederhana
Semur daging sapi,"daging sapi--garam dan gula pasir--kecap asin, kecap manis--kentang, 2 goreng--bumbu halus :--bawang merah--bawang putih--pala--merica--","Tumis bumbu halus hingga harum--Masukkan daging yg sudah d potong2, aduk sampai daging berubah warna--Tambahkan kecap asin, kecap manis, garam dan gula aduk..tuang air--Tutup wajan, setelah mendidih..kecilkan api--Masak hingga daging empuk, cicipi. Masukkan kentang goreng, masak sampai kuah menyusut dan bumbu meresap--Sajikan semur dengan taburan bawang goreng--",5,/id/resep/4454858-semur-daging-sapi
Bistik Rolade Sapi,stik rolade sapi/ayam--bawang bombay--kecap asin--saos sambal--saos tiram--air--kecap manis--gula pasir--bumbu halus ;--bawang merah--bawang putih--lada bubuk--garam--bahan pelengkap :--wortel--buncis--kentang--,Siapkan rolade potong2.. goreng setengah matang--Tumis bumbu halus dan bawang bombay sampai harum..masukkan rolade + kecap asin + saos tiram + kecap manis + saos sambal aduk rata...tambah kan air matang..aduk rata..tes rasa.. jangan lupa tambah kan gula pasir aduk tes rasa kembali..😄--Biarkan air smp agak menyusut...angkat--Sajikan 😍 alhamdulillah si kecil makan sampai nambah 3x 😲😲😲😂😂😂😂--Selamat mencoba mom... 😄😍😘--,18,/id/resep/4454264-bistik-rolade-sapi
Mie Goreng Sapi Brokoli,"mie telur kering cap burung dara--daging sapi cincang--brokoli--kemiri, haluskan--bubuk ketumbar--lada--kecap manis--kecap asin--saus tiram--bawang putih--bawang merah--","Rebus mie telur hingga matang. Angkat & tiriskan.--Bersihkan brokoli, rendam di air garam. Rebus sebentar. Angkat & tiriskan.--Tumis bawang merah & bawang putih.--Masukkan daging sapi giling. Tambahkan saus tiram, kecap asin, kecap manis, dan lada. Aduk rata.--Masukkan mie yang sudah direbus. Aduk rata. Tambahkan lada, kecap manis & kecap asin.--Masukkan kemiri dan ketumbar bubuk. Aduk rata.--Mie siap disajikan.--",6,/id/resep/4453826-mie-goreng-sapi-brokoli
